File,sum.x,sum.y
Upper Clore - storage for 16 hrs of generation.tif,27891.09842,19208.10442
Upper Deserted - Un-named.tif,23633.70354,36776.20156
Upper Misery - Lower Misery.tif,11055.04989,16735.65206
Upper Vancouver - Lower Vancouver.tif,19433.80676,19224.0852
VI02.tif,31535.41888,101570.9281
VI04.tif,26086.0385,95793.77984
VI05.tif,26642.62584,91655.61672
VI06.tif,24780.37887,90424.79446
VI07.tif,21638.74,75802.34683
VI08.tif,3605.320774,6413.92566
VI09.tif,34896.88409,89429.6218
VI10.tif,6214.99757,18161.89691
VI11.tif,1206.055118,3228.029086
VI12.tif,1351.540151,4180.230503
VI13.tif,1666.690518,3136.744021
VI14.tif,2368.033781,3463.302836
VI15.tif,8138.810959,7902.008233
WBBio_CB_RR.tif,28124.34376,25849.20082
WBBio_LM_RR.tif,3783.854262,2922.124831
WBBio_LM_ST_1.tif,3783.854262,2922.124831
WBBio_LM_ST_2.tif,3783.854262,2922.124831
WBBio_NE_ST_1.tif,67824.74281,55718.47083
WBBio_NE_ST_2.tif,67824.74281,55718.47083
WBBio_NE_ST_3.tif,67824.74281,55718.47083
WBBio_NW_ST.tif,26777.45358,74299.32762
WBBio_SP_RR.tif,4.043867513,0.93120428
WBBio_SP_ST.tif,4.043867513,0.93120428
WBBio_WPR_PL.tif,870.423841,1436.942722
Zymoetz_River-8hr.tif,2022.499094,12057.72615
