"number" "dsum" "count" "missing" "quant_error" "fname"
109 113.0 113 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_showy_flox.tif"
110 4.0 4 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_slender_collomia.tif"
111 1.0 1 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_smallflowered_tonella.tif"
112 261.0 261 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_smokers_lung_lichen.tif"
113 6.0 6 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_smooth_goldfields.tif"
114 1.0 1 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_smooth_goosefoot.tif"
115 3.0 3 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_spaldings_catchfly.tif"
116 3.0 3 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_streambank_lupine.tif"
117 81.0 81 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_tall_bugbane.tif"
118 3.0 3 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_tall_woollyheads.tif"
119 121.0 121 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_taylors_checkerspot.tif"
120 1.0 1 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_torreys_willowherb.tif"
121 117.0 117 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_townsends_mole.tif"
122 1.0 1 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_tweedys_lewisia.tif"
123 578.0 578 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_vi_marmot.tif"
124 1.0 1 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_victorias_owlclover.tif"
125 4199.0 4199 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_w_tiger_salamander.tif"
126 2.0 2 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_waterplantain_buttercup.tif"
127 12810.0 12810 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_western_rattlesnake.tif"
128 8.0 8 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_whip_pussytoes.tif"
129 2.0 2 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_white_meconella.tif"
130 533146. 533146 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_whitebark_pine.tif"
131 4591.0 4591 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_williamsons_sapsucker.tif"
