"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"21","VI11","Onshore Wind","Vancouver Island","y",48.52438427,-124.0442447,48,"NA","12","127.8522","102.72014729515422","NA",0.682842773438,34.06690625,34.749749023438,69,1389.98996093752,6.36,0.00457557261471896,"R","NA","NA","NA",62.8286458551884,0.351901558905066,115.711756326258,0.648098441094934,178.540402181446,0.0124552036090998,0.0229387959169435,0.0353939995260432,NA
"22","PC18","Onshore Wind","Peace River","y",55.36411684,-121.4835836,138,"NA","33.6","562.91759999999999","52.49959951056757","NA",7.15979882813,18.976451171875,26.136250000005,230,1045.4500000002,17.81,0.0170357262422848,"R","NA","NA","NA",107.665150224231,0.597763431443767,72.4481597589329,0.402236568556233,180.113309983164,0.0213436299540486,0.01436218413782,0.0357058140918686,NA
"23","Sloquet Creek","Geothermal","Lower Mainland","y",49.736758,-122.303431,10,"8","NA","57","157.06","NA",0.300000000003725,8.44264,8.74264000000373,69,349.705600000149,2.3,0.0065769607349697,"NA","NA","NA","NA",75.7649452090263,0.408551039685774,109.68298625946,0.591448960314226,185.447931468486,0.0150197064757012,0.0217436474671824,0.0367633539428836,NA
"24","VI12","Onshore Wind","Vancouver Island","y",50.49669782,-126.7676224,48,"NA","12","164.90700000000001","88.165206651257805","NA",0.7,9.2,9.9,130,396,6.36,0.0160606060606061,"R","NA","NA","NA",61.6151511762291,0.330031221892367,125.079764604568,0.669968778107633,186.694915780797,0.0122146394030872,0.0247959177588978,0.037010557161985,NA
"25","Solar76979","Solar","Vancouver Island",NA,48.73663866,-123.7746615,92.1156923077,"NA","NA","151.38292161644466","102.62417884982256","NA",0,5.7,5.7,13,228,200.88,0.881052631578947,"NA","NA","200.88","80.352000000000004",114.70438415464,0.585315018949974,81.2659573554993,0.414684981050026,195.970341510139,0.0227390936101874,0.0161102317513593,0.0388493253615466,NA
"26","VI14","Onshore Wind","Vancouver Island","y",50.44600547,-127.2969015,33,"NA","8.4","129.44651999999999","88.609477321999194","NA",0.9,17.8,18.7,130,748,4.45,0.00594919786096257,"R","NA","NA","NA",94.0232829302549,0.471917632634327,105.213355898857,0.528082367365673,199.236638829112,0.0186392547054333,0.0208575841844079,0.0394968388898412,NA
"27","SI37","Onshore Wind","East Kootenay","y",49.33874819,-115.9994731,33,"NA","8.4","97.314840000000018","97.013018779307032","NA",1.2656854248,15.8698486328125,17.1355340576125,69,685.4213623045,4.45,0.00649235673810685,"R","NA","NA","NA",155.616830803454,0.71394925136143,62.3494049012661,0.28605074863857,217.96623570472,0.030849611451554,0.0123601984792315,0.0432098099307855,NA
"28","VI13","Onshore Wind","Vancouver Island","y",50.4946925,-127.072832,33,"NA","8.4","113.50331999999999","87.113135229108053","NA",1,8.8,9.8,130,392,4.45320758646353,0.0113602234348559,"P","7","NA","NA",51.0614492963362,0.232160553186979,168.878797207177,0.767839446813021,219.940246503513,0.0101224646640872,0.0334786748280929,0.0436011394921801,NA
"29","PC27","Onshore Wind","Peace River","y",55.08879708,-120.8807972,108,"NA","26.4","349.97952000000004","74.776098252114934","NA",0.6,18.7,19.3,230,772,14,0.0181347150259067,"R","NA","NA","NA",174.360365271568,0.783069118790238,48.3024381613359,0.216930881209762,222.662803432904,0.0345653454925617,0.00957551597565918,0.0441408614682208,NA
"30","Zymoetz_River-8hr","Small Storage Hydro","North Coast","y",54.5,-128.35,51.2,"40","8","208.4","81.381647398843924","NA",0,16.4823376490855,16.4823376490855,69,659.293505963421,16.48,0.0249964543119804,"NA","NA","NA","NA",31.0827804207802,0.124045507256377,219.492843866348,0.875954492743623,250.575624287128,0.00616187653908805,0.0435124460170098,0.0496743225560978,NA
