"","BC Hydro Names","Project Type","Region","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","ATG (ha)","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"109","PC14","Onshore Wind","Peace River",54.60745688,-120.4986409,144,"NA","34.799999999999997","640.30781999999999","53.724829135258389","NA",8,75.9,83.9,230,"R","NA","NA","NA",18.45,1876,0.530843237125071,1658,0.469156762874929,3534,0.0796009508501067,0.0703509469666721,0.149951897816779,NA
"110","SI10","Onshore Wind","Kelly Nicola",50.46939281,-119.9619547,117,"NA","27.599999999999998","332.44200000000001","80.465695323400553","NA",0.3,35,35.3,130,"P","23","NA","NA",14.6319677840945,1897.603,0.53659042679627,1638.8056,0.46340957320373,3536.4086,0.080517810401402,0.0695366937054567,0.150054504106859,NA
"111","PC21","Onshore Wind","Peace River",54.86215047,-121.0169033,99,"NA","24","462.52800000000002","57.646413028801121","NA",15.8065888672,35.17644921875,50.98303808595,230,"R","NA","NA","NA",12.72,1796,0.501255930784259,1787,0.498744069215741,3583,0.0762105990299297,0.0758286973644122,0.152039296394342,NA
"112","NC07","Onshore Wind","North Coast",54.2217287,-126.3493254,117,"NA","27.599999999999998","338.78861999999998","78.174797926861075","NA",1.0656854248,28.352900390625,29.418585815425,130,"R","NA","NA","NA",14.63,1257,0.348585690515807,2349,0.651414309484193,3606,0.0533402671459847,0.0996788285806827,0.153019095726667,NA
"113","PC26","Onshore Wind","Peace River",55.54330734,-122.3474683,126,"NA","30","518.37300000000005","59.692496414795102","NA",4.95269140625,52.42569140625,57.3783828125,130,"R","NA","NA","NA",15.9,1997,0.543549265106151,1677,0.456450734893849,3674,0.0847479694676344,0.071167924285039,0.155915893752673,NA
"114","Anudol_Creek_A-8hr","Small Storage Hydro","North Coast",55.12,-129.53,160,"40","3","345","92.74","NA",6.145,41.7588,47.9038,69,"NA","NA","NA","NA",56.9,1334,0.35668449197861,2406,0.64331550802139,3740,0.0566156347888258,0.102111857047912,0.158727491836738,NA
"115","Upper Vancouver - Lower Vancouver","Pumped Storage","Lower Mainland",49.9126362467,-123.731816256,1000,"NA","495","NA","NA","170.62377878787873",10.0225371094,34.4132034355972,44.4357405449972,500,"NA","NA","NA","NA",11.75,1763,0.468011680382267,2004,0.531988319617733,3767,0.0748246268453263,0.0850530642076199,0.159877691052946,NA
"116","PC17","Onshore Wind","Peace River",55.6892616,-122.1239058,102,"NA","25.2","335.91096000000005","68.72877135682117","NA",1.4,32.3,33.7,130,"R","NA","NA","NA",13.36,1877,0.48982254697286,1955,0.51017745302714,3832,0.0796680155440129,0.0829786736220273,0.16264668916604,NA
"117","SI29","Onshore Wind","Kelly Nicola",49.4213473,-120.8643541,117,"NA","27.599999999999998","333.34866000000005","90.442200022550978","NA",1.38994958496,98.132296875,99.52224645996,130,"R","NA","NA","NA",14.63,1800,0.468627961468368,2041,0.531372038531632,3841,0.076400458221452,0.0866296306833242,0.163030088904776,NA
"118","SI30","Onshore Wind","Kelly Nicola",49.31580207,-120.7780903,150,"NA","36","428.36399999999998","86.437385455994203","NA",0.9,106.2,107.1,130,"P","30","NA","NA",19.085175370558,1829.1013,0.474015030715432,2029.63984,0.525984969284568,3858.74114,0.0776369599107514,0.0861489010430116,0.163785860953763,NA
"119","Knight - Fourth","Pumped Storage","Vancouver Island",49.0698799999999,-124.41682,500,"NA","408","NA","NA","172.06",20.2,43.7,63.9,500,"NA","NA","NA","NA",54.03,1519,0.392101187403201,2355,0.607898812596799,3874,0.0644755069156433,0.0999603810311652,0.164435887946809,NA
"120","Squamish_River_B-8hr","Small Storage Hydro","Lower Mainland",50.08,-123.36,67.7,"40","10","345","92.74","NA",0.299999999998137,38.7889,39.0888999999981,130,"NA","NA","NA","NA",133.8,1565,0.392427281845537,2423,0.607572718154463,3988,0.0664349110977015,0.102857373539764,0.169292284637466,NA
